Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
77,Verses by Erato at Lykosoura,"Verses by Erato, mantis at Lykosoura",,Erato,epic poem,,8.37.12,R-reference,,"Sanctuary of Pan above Despoina sanctuary, Lykosoura","{""type"": ""Point"", ""coordinates"": [22.03143, 37.38957]}"
78,Euclus verse oracles on Homer's birth,verse oracles of Euclus,,Euclus of Cyprus,prophecy,"“And then in sea-girt Cyprus there will be a mighty singer, <br>Whom Themisto, lady fair, shall bear in the fields, <br>A man of renown, far from rich Salamis. <br>Leaving Cyprus, tossed and wetted by the waves, <br>The first and only poet to sing of the woes of spacious Greece, <br>For ever shall he be deathless and ageless.”",10.24.3,R-quotation,,Temple of Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.5012215, 38.4823167]}"
79,Euclus verse oracles predict Persian invasion,verse oracles of Euclus,,Euclus of Cyprus,prophecy,lost,10.14.6,R-reference,,Sanctuary of Pythian Apollo at Delphi,"{""type"": ""Point"", ""coordinates"": [22.50151, 38.48254]}"
80,"Eumelus Corinthiaca fr. 15, 19 on prehistory of Corinth/Ephyraea",Corinthiaca of Eumelus,Q115209579,Eumelus of Corinth,epic poem,,2.1.1,R-paraphrase,,Megarid-Corinthia border,"{""type"": ""Point"", ""coordinates"": [23.17, 37.951]}"
81,"Eumelus Corinthiaca fr. 23, 17, 20, 18 West)) on Helius' gift of Ephyraea to Aeetes",Corinthiaca of Eumelus,Q115209579,Eumelus of Corinth,epic poem,,2.3.10,R-paraphrase,,Glauke fountain (Corinth),"{""type"": ""Point"", ""coordinates"": [22.87812, 37.90562]}"
82,Eumelus Corinthiaca fr. 24 West on tombs of Neleus and Sisyphus,Corinthiaca of Eumelus,Q115209579,Eumelus of Corinth,epic poem,,2.2.2,R-paraphrase,,Isthmian Poseidon sanctuary at Isthmia,"{""type"": ""Point"", ""coordinates"": [22.992664, 37.9158514]}"
83,Eumelus Corinthiaca: Ephyraea was renamed after Corinthus son of Marathon,Corinthiaca of Eumelus,Q115209579,Eumelus of Corinth,epic poem,,2.1.1,R-reference,,Megarid-Corinthia border,"{""type"": ""Point"", ""coordinates"": [23.17, 37.951]}"
84,"Eumelus, Hymn to Apollo on authorship of Chest of Cypselus inscriptions",Hymn to Apollo by Eumelus,,Eumelus of Corinth,hymn,lost,5.19.10,R-reference,,Temple of Hera at Olympia,"{""type"": ""Point"", ""coordinates"": [21.62976, 37.63887]}"
85,"Eumelus, Hymn to Apollo on Messenian chorus to Delos",Hymn to Apollo by Eumelus,,Eumelus of Corinth,hymn,lost,4.4.1,R-reference,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
86,"Eumelus, Hymn to Apollo on Muses at Ithome",Hymn to Apollo by Eumelus,,Eumelus of Corinth,hymn,lost (fr. 1 Campbell),4.33.2,R-quotation,,Temenos of Zeus on summit of Ithome,"{""type"": ""Point"", ""coordinates"": [21.925, 37.186]}"
87,Euphemos the Carian: account of satyr-like creatures by Euphemus the Carian,Travel account of Euphemos the Carian,,Euphemus of Caria,history,lost,1.23.5,R-paraphrase,,Athenian Acropolis (Athens),"{""type"": ""Point"", ""coordinates"": [23.7257, 37.9717]}"
88,Euphorion of Chalcis on fate of Laodice,poem by Euphorion of Chalcis,,Euphorion of Chalcis,epic poem,lost,10.26.8,R-reference,,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
89,Euphorion of Chalcis on Theseus as father of Iphigeneia (agreeing with the Argives),poem by Euphorion of Chalcis,,Euphorion of Chalcis,epic poem,lost,2.22.7,R-reference,,Sanctuary of Eileithyia at Argos founded by Helen,"{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}"
90,Gitiadas hymn to Athena on Athena Poliouchos of Sparta,Dorian hymn of Gitiadas to Athena,,Gitiadas,hymn,lost,3.17.1,R-reference,,Sanctuary of Eileithyia near Orthia sanctuary in Sparta,"{""type"": ""Point"", ""coordinates"": [22.4237, 37.0821]}"
91,Hecataeus fr. 29A Fowler on Heracles and Auge at Tegea,work of Hecataeus on rape of Auge,,Hecataeus of Miletus,epic poem,,8.4.9,R-paraphrase,,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
92,Hecataeus on location of Oechalia in Eretria,histories of Hecataeus,,Hecataeus of Miletus,history,lost,4.2.3,R-paraphrase,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
93,Hecataeus says Hound of Hades at Tainaron was a poisonous serpent,work of Hecataeus on Heracles,,Hecataeus of Miletus,epic poem,,3.25.5,O-Nature,,Tainaron (promontory),"{""type"": ""Point"", ""coordinates"": [22.4831905, 36.3856534]}"
94,Hecataeus: Heracles seduces Auge in Tegea,work of Hecataeus on rape of Auge,,Hecataeus of Miletus,epic poem,,8.4.9,,,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
95,"Hegesinus, Atthis fr. 1 West on founding of Ascra, quoted by Callippus",Atthis of Hegesinus,Q106619730,Hegesinus,dithyramb,"The first to sacrifice on Helicon to the Muses and to call the mountain sacred to the Muses were, they say, Ephialtes and Otus, who also founded Ascra. To this also Hegesinus alludes in his poem Atthis: “And again with Ascra lay Poseidon Earth-shaker, Who when the year revolved bore him a son Oeoclus, who first with the children of Aloeus founded Ascra, which lies at the foot of Helicon, rich in springs.”",9.29.1,R-quotation,,"Askre, Askra","{""type"": ""Point"", ""coordinates"": [23.074249, 38.327032]}"
96,Hegias/Agias of Troezen on Antiope betraying Themiscyra for love of Theseus,poem of Hegias/Agias of Troezen,,Hegias of Troezen,history,lost,1.2.1,R-paraphrase,,road Phaleron to Athens,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.68658880803406, 37.94037408093416], [23.72920614293062, 37.969424204333635]]}]}"
97,Hellanicus fr. 132 Fowler on Polyxenus as son of Medea and Jason,history of Hellanicus,,Hellanicus of Mytilene,history,,2.3.8,R-paraphrase,,Glauke fountain (Corinth),"{""type"": ""Point"", ""coordinates"": [22.87812, 37.90562]}"
98,Hellanicus fr.155 Fowler on children of Pylades and Electra,history of Hellanicus,,Hellanicus of Mytilene,history,,2.16.7,R-paraphrase,,Mycenae,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
99,"Hermesianax, elegies on Attis as son of Calaus",elegiac verses of Hermesianax,,Hermesianax,elegiac poem,lost,7.17.9,R-paraphrase,,Sanctuary of Dindymene Mother and Attes at Dyme,"{""type"": ""Point"", ""coordinates"": [21.551425, 38.144625]}"
100,"Hermesianax, elegies on cork bark",elegiac verses of Hermesianax,,Hermesianax,elegiac poem,,8.12.1,R-paraphrase,,Pelagos oak forest 30 stades from Mantineia on Tegea road,"{""type"": ""Point"", ""coordinates"": [22.416, 37.578]}"
101,"Hermesianax, elegies on Olenus as small town",elegiac verses of Hermesianax,,Hermesianax,elegiac poem,lost,7.18.1,R-reference,,Olenos,"{""type"": ""Point"", ""coordinates"": [21.640599, 38.153707]}"
102,"Hermesianax, elegies on the Graces and Persuasion",elegiac verses of Hermesianax,,Hermesianax,elegiac poem,lost,9.35.5,R-reference,,Orchomenos (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.959486, 38.495082]}"
103,Herodotus (unknown): on something unintelligible near Drymaia,Histories of Herodotus,Q746583,Herodotus,history,,10.33.12,R-reference,,Drymaia,"{""type"": ""Point"", ""coordinates"": [22.54128, 38.70507]}"
104,Herodotus 1.1-2 on Io in Egypt,Histories of Herodotus,Q746583,Herodotus,history,"1.1 Those of the Persians who have knowledge of history declare that the Phoenicians first began the quarrel. These, they say, came from that which is called the Erythraean Sea to this of ours; and having settled in the land where they continue even now to dwell, set themselves forthwith to make long voyages by sea. And conveying merchandise of Egypt and of Assyria they arrived at other places and also at Argos; now Argos was at that time in all points the first of the States within that land which is now called Hellas; — the Phoenicians arrived then at this land of Argos, and began to dispose of their ship's cargo: and on the fifth or sixth day after they had arrived, when their goods had been almost all sold, there came down to the sea a great company of women, and among them the daughter of the king; and her name, as the Hellenes also agree, was Io the daughter of Inachos. These standing near to the stern of the ship were buying of the wares such as pleased them most, when of a sudden the Phoenicians, passing the word from one to another, made a rush upon them; and the greater part of the women escaped by flight, but Io and certain others were carried off. So they put them on board their ship, and forthwith departed, sailing away to Egypt. In this manner the Persians report that Io came to Egypt, not agreeing therein with the Hellenes, and this they say was the first beginning of wrongs. Then after this, they say, certain Hellenes (but the name of the people they are not able to report) put in to the city of Tyre in Phoenicia and carried off the king's daughter Europa; — these would doubtless be Cretans; — and so they were quits for the former injury. After this however the Hellenes, they say, were the authors of the second wrong; for they sailed in to Aia of Colchis and to the river Phasis with a ship of war, and from thence, after they had done the other business for which they came, they carried off the king's daughter Medea: and the king of Colchis sent a herald to the land of Hellas and demanded satisfaction for the rape and to have his daughter back; but they answered that, as the Barbarians had given them no satisfaction for the rape of Io the Argive, so neither would they give satisfaction to the Barbarians for this",2.16.1,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0016.tlg001.perseus-grc2:1.1-1.2,Mycenae,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
105,Herodotus 1.24 on Arion and the dolphin,Histories of Herodotus,Q746583,Herodotus,history,"This is the tale told by the Corinthians and Lesbians alike, and there is at Tainaron a votive offering of Arion of no great size, namely a bronze figure of a man upon a dolphin's back.",3.25.7,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0016.tlg001.perseus-grc2:1.24,Tainaron (promontory),"{""type"": ""Point"", ""coordinates"": [22.4831905, 36.3856534]}"
106,Herodotus 1.65 on Labotas king of Sparta as ward of Lycurgus,Histories of Herodotus,Q746583,Herodotus,history,"Lycurgos, a man of the Spartans who was held in high repute, came to the Oracle at Delphi, and as he entered the megaron, straightway the Pythian prophetess said as follows: ""Lo, thou art come, O Lycurgos, to this rich shrine of my temple, Loved thou by Zeus and by all who possess the Olympian abodes. Whether to call thee a god, I doubt, in my voices prophetic, God or a man, but rather a god I think, O Lycurgos."" Some say in addition to this that the Pythian prophetess also set forth to him the order of things which is now established for the Spartans; but the Lacedemonians themselves say that Lycurgos having become guardian of Leobotes his brother's son, who was king of the Spartans, brought in these things from Crete. For as soon as he became guardian, he changed all the prevailing laws, and took measures that they should not transgress his institutions: and after this Lycurgos established that which appertained to war, namely Enomoties and Triecads and Common Meals, and in addition to this the Ephors and the Senate.",3.2.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0016.tlg001.perseus-grc2:1.65,Argolid - Lakonia border at the Hermai,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.527643966812064, 37.31460354773594], [22.53453084312804, 37.3070246533447], [22.538351342393554, 37.307297362478295], [22.530631002613234, 37.3160985404418], [22.527643966812064, 37.31460354773594]]]}]}"
107,Herodotus 1.68 on finding bones of Orestes at Tegea,Histories of Herodotus,Q746583,Herodotus,history,"...He then thus told him of that which he had seen; and the other, having thought upon that which was told, conjectured that this was Orestes according to the saying of the Oracle, forming his conjecture in the following manner: — whereas he saw that the smith had two pairs of bellows, he concluded that these were the winds spoken of, and that the anvil and the hammer were the stroke and the stroke in, and that the iron which was being wrought was the trouble laid upon trouble, making comparison by the thought that iron has been discovered for the evil of mankind. Having thus conjectured he came back to Sparta and declared the whole matter to the Lacedemonians;...",3.3.6,R-uncited paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0016.tlg001.perseus-grc2:1.68,Argolid - Lakonia border at the Hermai,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.527643966812064, 37.31460354773594], [22.53453084312804, 37.3070246533447], [22.538351342393554, 37.307297362478295], [22.530631002613234, 37.3160985404418], [22.527643966812064, 37.31460354773594]]]}]}"
108,Herodotus 2.156 on Aeschylus giving Egyptian version that Artemis is the child of Demeter,Histories of Herodotus,Q746583,Herodotus,history,"And the Egyptians, when they say that it is floating, add this story, namely that in this island, which formerly was not floating, Leto, being one of the eight gods who came into existence first, and dwelling in the city of Buto where she has this oracle, received Apollo from Isis as a charge and preserved him, concealing him in the island which is said now to be a floating island, at that time when Typhon came after him seeking everywhere and desiring to find the son of Osiris. Now they say that Apollo and Artemis are children of Dionysos and of Isis, and that Leto became their nurse and preserver; and in the Egyptian tongue Apollo is Oros, Demeter is Isis, and Artemis is Bubastis. From this story and from no other Aeschylus the son of Euphorion took this which I shall say, wherein he differs from all the preceding poets; he represented namely that Artemis was the daughter of Demeter. For this reason then, they say, it became a floating island. Such is the story which they tell;",8.37.6,R-uncited paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0016.tlg001.perseus-grc2:2.156,Sanctuary of Despoina at Lykosoura,"{""type"": ""Point"", ""coordinates"": [22.03143, 37.38957]}"
109,Herodotus 4.103 on sacrifices to Iphigeneia,Histories of Herodotus,Q746583,Herodotus,history,"Among these, the Tauri have the following customs: all ship-wrecked men, and any Greeks whom they capture in their sea-raids, they sacrifice to the Virgin goddess[*] as I will describe: after the first rites of sacrifice, they strike the victim on the head with a club;according to some, they then place the head on a pole and throw the body off the cliff on which their temple stands; others agree as to the head, but say that the body is buried, not thrown off the cliff. The Tauri themselves say that this deity to whom they sacrifice is Agamemnon's daughter Iphigenia.As for enemies whom they defeat, each cuts his enemy's head off and carries it away to his house, where he places it on a tall pole and stands it high above the dwelling, above the smoke-vent for the most part. These heads, they say, are set up to guard the whole house. The Tauri live by plundering and war.",1.43.1,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0016.tlg001.perseus-grc2:4.103?right=perseus-eng2,hero shrine of Iphigeneia in Megara,"{""type"": ""Point"", ""coordinates"": [23.34285, 37.997]}"
